0,1,2,3,4,5,6
34,144,-20.419,-120.,93.178,3286,0.10816
34,161,-18.611,-120.,94.262,3286,0.1084
35,145,-20.374,-120.,95.329,3286,0.10865
35,161,-18.611,-120.,94.262,3286,0.1084
35,155,-18.865,-120.,95.735,3286,0.10873
36,285,1.3031,-120.,89.681,3299,0.10708
36,275,-0.15357,-120.,92.615,3299,0.10771
36,300,4.2195,-120.,92.615,3299,0.10744
37,80,-26.056,-120.,108.78,3376,0.11009
37,97,-24.934,-120.,108.56,3376,0.11009
37,82,-25.781,-120.,108.08,3376,0.1101
38,43,-28.173,-120.,109.18,3376,0.11007
38,23,-29.748,-120.,110.74,3376,0.11
38,7,-31.417,-120.,109.78,3376,0.11002
39,43,-28.173,-120.,109.18,3376,0.11007
39,7,-31.417,-120.,109.78,3376,0.11002
39,55,-27.388,-120.,107.17,3376,0.11009
40,43,-28.173,-120.,109.18,3376,0.11007
40,55,-27.388,-120.,107.17,3376,0.11009
40,82,-25.781,-120.,108.08,3376,0.1101
41,43,-28.173,-120.,109.18,3376,0.11007
41,82,-25.781,-120.,108.08,3376,0.1101
41,80,-26.056,-120.,108.78,3376,0.11009
42,43,-28.173,-120.,109.18,3376,0.11007
42,80,-26.056,-120.,108.78,3376,0.11009
42,36,-28.65,-120.,110.53,3376,0.11002
43,43,-28.173,-120.,109.18,3376,0.11007
43,36,-28.65,-120.,110.53,3376,0.11002
43,23,-29.748,-120.,110.74,3376,0.11
44,32,-28.882,-120.,111.23,3376,0.10998
44,36,-28.65,-120.,110.53,3376,0.11002
44,23,-29.748,-120.,110.74,3376,0.11
45,68,-26.514,-120.,110.12,3376,0.11004
45,61,-27.224,-120.,112.18,3376,0.10991
45,112,-23.336,-120.,109.46,3376,0.11005
46,68,-26.514,-120.,110.12,3376,0.11004
46,112,-23.336,-120.,109.46,3376,0.11005
46,97,-24.934,-120.,108.56,3376,0.11009
47,68,-26.514,-120.,110.12,3376,0.11004
47,97,-24.934,-120.,108.56,3376,0.11009
47,80,-26.056,-120.,108.78,3376,0.11009
48,68,-26.514,-120.,110.12,3376,0.11004
48,80,-26.056,-120.,108.78,3376,0.11009
48,36,-28.65,-120.,110.53,3376,0.11002
49,68,-26.514,-120.,110.12,3376,0.11004
49,36,-28.65,-120.,110.53,3376,0.11002
49,32,-28.882,-120.,111.23,3376,0.10998
50,68,-26.514,-120.,110.12,3376,0.11004
50,32,-28.882,-120.,111.23,3376,0.10998
50,61,-27.224,-120.,112.18,3376,0.10991
